items,item_order_cnt,often_purchased,rare_purchased,support,1_freq_confidence,2_freq_confidence,3_freq_confidence
706016001,42146,"[706016003, 706016015, 706016006]","[215589001, 620425012, 721059003]",0.007840363604163767,0.09678261282209462,0.07063541024059222,0.060029421534665214
706016002,30544,"[706016003, 706016006, 706016015]","[852174003, 734273002, 720137004]",0.005682059173482136,0.10450497642744892,0.09262048192771084,0.07634887375589314
372860001,29179,"[608776002, 372860024, 464297007]","[733106003, 446224035, 819485001]",0.005428130062304717,0.02865074197196614,0.021076801809520547,0.018849172349977725
610776002,24975,"[610776028, 610776083, 554598001]","[788632002, 775100001, 755362001]",0.004646065605608839,0.05081081081081081,0.024784784784784786,0.022862862862862862
759871002,23579,"[759871003, 759871004, 759871025]","[685813018, 733099001, 448509017]",0.004386369606192224,0.07761143390304932,0.05979897366300522,0.059502099325671146
372860002,22306,"[372860024, 608776002, 464297007]","[762796001, 854261001, 688873008]",0.004149555131079509,0.02205684569174213,0.0134492961535013,0.012552676409934547
464297007,21514,"[719655001, 464297021, 507883009]","[924243001, 710899003, 821643001]",0.004002220438000742,0.023751975457841405,0.01998698521892721,0.01519940503857953
399223001,19394,"[706016001, 399223029, 399223025]","[866383006, 689898003, 827637001]",0.0036078396939010133,0.04568423223677426,0.0448592348148912,0.030524904609673095
720125001,18808,"[720125007, 791587001, 757303012]","[610776022, 731743001, 615986003]",0.0034988269033149563,0.03748404934070608,0.021108039132284134,0.02031050616758826
610776001,18582,"[610776028, 610776083, 610776072]","[759814010, 741259001, 678696014]",0.003456784427764702,0.03901625228715962,0.027176837800021527,0.02680012915724895
706016003,18487,"[706016002, 706016015, 706016006]","[547780028, 708471001, 720100001]",0.003439111705741365,0.17698923567912586,0.09839346567858495,0.0716178936550008
673396002,18405,"[706016001, 589748001, 673396017]","[918522001, 794793003, 788651002]",0.003423857356205432,0.013202933985330073,0.012931268676989948,0.010540613963596849
673677002,17917,"[673677015, 673677010, 673677011]","[803468002, 675068001, 469039019]",0.0033330753736013435,0.030027348328403192,0.025841379695261485,0.021934475637662557
562245046,17819,"[562245018, 706016001, 562245062]","[868018001, 748236002, 712924006]",0.003314844565619375,0.0855266849991582,0.04018182838543128,0.03479432066894887
399256001,17655,"[399256023, 399256005, 399256002]","[840607010, 751994006, 779068004]",0.0032843358665475093,0.06343811951288587,0.05001416029453413,0.04395355423392806
562245001,16898,"[562245046, 562245004, 562245064]","[730683036, 797394003, 823436002]",0.0031435121763194454,0.09060243815836194,0.059711208427032786,0.03568469641377678
568601006,16683,"[568601007, 507909001, 751471001]","[924243001, 757828001, 637661002]",0.0031035160159508406,0.03758316849487502,0.026194329557034105,0.024515974345141762
351484002,16621,"[699080001, 458543001, 609719001]","[915529001, 742092001, 740498001]",0.0030919822394724523,0.19667890018651105,0.12526322122615968,0.1241200890439805
608776002,16092,"[160442007, 372860002, 464297007]","[909370001, 733267004, 557247003]",0.0029935730821003975,0.02243350733283619,0.018456375838926176,0.013857817549092717
448509014,15920,"[448509018, 706016002, 706016001]","[652730004, 781833008, 554598009]",0.002961576153805514,0.08090452261306533,0.033605527638190955,0.032097989949748745
751471001,15649,"[751471027, 752814003, 568601006]","[569984002, 554598038, 616088002]",0.002911162388875784,0.03284554923637293,0.03143970860757876,0.02453830915713464
688537004,14745,"[590928001, 599580017, 688537011]","[884319001, 678963010, 751551001]",0.0027429924866747674,0.23628348592743303,0.08036622583926754,0.07921329264157341
579541001,14483,"[579541075, 579541072, 579541026]","[767046001, 816423003, 708352003]",0.0026942529796209333,0.02962093488918042,0.02471863564178692,0.020782986950217495
573716012,14204,"[573716049, 573716002, 573716052]","[924243001, 785018004, 779324007]",0.0026423509854681857,0.05723739791607998,0.04322725992678119,0.03977752745705435
706016015,13732,"[706016002, 706016003, 706016006]","[865929003, 700370004, 772349013]",0.002554545461310133,0.17455578211476844,0.1312263326536557,0.08338188173609089
156231001,13433,"[228257001, 200182001, 111586001]","[767862001, 351484026, 735122001]",0.002498922894099841,0.02873520434750242,0.028139656070870246,0.027023003052184916
484398001,13095,"[720125001, 573652001, 562245001]","[736923003, 687704001, 701016002]",0.002436045209427337,0.02962962962962963,0.01817487590683467,0.015654830087819777
160442007,13044,"[160442043, 608776002, 372860001]","[915526001, 773980002, 743630007]",0.002426557748130598,0.10648574057037719,0.023842379638147806,0.023612388837779823
590928001,13015,"[712924012, 599580017, 684209004]","[918292001, 708345003, 685468001]",0.002421162917197158,0.1672685363042643,0.14583173261621207,0.0701498271225509
562245018,12899,"[562245046, 562245004, 562245088]","[819113001, 779863001, 749699009]",0.0023995835934634,0.11729591441196992,0.0560508566555547,0.047600589192960695
554450001,12876,"[554450027, 554450036, 554450004]","[776237031, 547780028, 841260002]",0.002395304934447223,0.08193538365952159,0.06904318111214663,0.06189810500155328
599580017,12620,"[590928001, 688537004, 589599033]","[907527001, 832616001, 809961001]",0.0023476815993106522,0.15015847860538828,0.09675118858954042,0.09572107765451664
684209004,12344,"[599580017, 600886011, 590928001]","[739348005, 595779002, 741985001]",0.0022963376911165367,0.1870544394037589,0.07631237848347375,0.0729099157485418
717490008,12300,"[717490010, 717490064, 717490058]","[915529003, 721545001, 721299003]",0.0022881524303899384,0.06219512195121951,0.04983739837398374,0.04552845528455285
741356002,12120,"[741356001, 741356004, 741356008]","[673677002, 802023001, 751471027]",0.0022546672728720367,0.07235973597359736,0.0627887788778878,0.05495049504950495
507909001,12011,"[507910001, 568601006, 507909024]","[778064006, 757286001, 738943012]",0.0022343901497084186,0.03713262842394472,0.03463491799184081,0.03363583381899925
783346001,11621,"[751471001, 783346016, 783346020]","[909370001, 711649001, 746775001]",0.0021618389750862987,0.10102400826090698,0.04646760175544273,0.03941141037776439
678942001,11617,"[678942016, 678942031, 678942026]","[711053027, 688558018, 762063001]",0.0021610948604747896,0.05741585607299647,0.045967117155892225,0.03735904278212964
706016006,11601,"[706016001, 706016003, 706016015]","[815808001, 655784007, 739348007]",0.002158118402028754,0.22920437893285062,0.11473148866477027,0.10007757951900698
636323001,11563,"[636323005, 399256001, 706016001]","[803468002, 777143001, 693242012]",0.0021510493132194195,0.07956412695667214,0.06408371529879789,0.047046614200467005
749699002,11540,"[712216005, 716672001, 749699008]","[924243001, 677930060, 523490004]",0.002146770654203243,0.03561525129982669,0.03214904679376083,0.029896013864818025
158340001,11018,"[111593001, 436261001, 123173001]","[896152001, 554598058, 747984001]",0.0020496636974013287,0.1315120711562897,0.10646215284080596,0.05327645670720639
759871001,10990,"[759871003, 759871004, 759871013]","[915526001, 395127001, 733098013]",0.002044454895120766,0.10600545950864422,0.08262056414922657,0.04767970882620564
160442010,10983,"[160442043, 372860002, 372860001]","[714824004, 810557003, 803772003]",0.0020431526945506257,0.09086770463443504,0.01893835928252754,0.018027861240098333
688537011,10836,"[757896001, 688537004, 684209004]","[902107001, 747984002, 707735001]",0.0020158064825776725,0.16214470284237725,0.11175710594315245,0.06533776301218161
572797001,10692,"[841383002, 572797039, 565379001]","[637661001, 735622003, 844915002]",0.0019890183565633513,0.03348297792742237,0.031051253273475497,0.02151141040029929
