items,item_order_cnt,often_purchased,rare_purchased,support,1_freq_confidence,2_freq_confidence,3_freq_confidence
Jade HW Skinny Denim TRS,110303,"['Madison skinny HW (1)', 'Luna skinny RW', 'Jade Trash HW Skinny Denim TRS']","['LS Carrie Cheeky Brief', 'Fiffi folded waist', 'LS Carrie Bandeau']",0.020519518498317183,0.05692501563874056,0.04649012266212161,0.03486759199659121
Luna skinny RW,96534,"['Luna skinny 5 pkt', 'Madison skinny HW (1)', 'Julia RW Skinny Denim TRS']","['Samantha padded soft bralette', 'Stella treggings (W)', 'Sara s/s 2-pack']",0.017958089976850593,0.05001346675782626,0.03709573828910021,0.03344935463152879
Timeless Midrise Brief,81467,"['Simple as That Triangle Top', 'New Girl Push Top', 'Simple as that Cheeky Tanga']","['Dalila sweater', 'EDC J CARLOTTA POLO TOP', 'Esmeralda']",0.015155196263949358,0.24562092626462248,0.14920151717873495,0.116758933064922
Tilly (1),66975,"['Nora T-shirt', 'Cat Tee.', 'Luna skinny RW']","['Embrace Slim HW Ankle', 'LS Emmy Padded Triangle Top', 'CA Gustavsberg TVP']",0.01245926902645253,0.08298618887644643,0.06544232922732363,0.030175438596491227
Simple as That Triangle Top,53218,"['Timeless Midrise Brief', 'New Girl Push Top', 'Timeless Highwaist']","['FF PI Haley dress', 'Bellini price CF', 'Bristol']",0.009900072848820466,0.3830470893306776,0.1053402983952798,0.07012664887819911
Cat Tee.,52253,"['Jade HW Skinny Denim TRS', 'Nora T-shirt', 'Tilly.']","['Jackie cable vest', 'Sade top with inner bra (1)', 'Harper Turtleneck']",0.009720555198793938,0.04767190400551165,0.03264884312862419,0.02979733221059078
7p Basic Shaftless,47738,"['Basic 7p Shaftless', 'Jade HW Skinny Denim TRS', 'Tilly (1)']","['FF PI Haley dress', 'Girlfriend', 'EDC LAURA LACE TOP']",0.008880635831053241,0.025367631656123005,0.02283296325778206,0.021429469185973438
Simple as that Cheeky Tanga,46183,"['Timeless Midrise Brief', 'New Girl Push Top', 'Shake it in Balconette']","['Jasba jersey  shacket', 'Milk', 'Fairfax HW slim']",0.008591361275829148,0.21115995063118465,0.1522638200203538,0.13078405473875668
Pluto RW slacks (1),44585,"['Milk RW slack', 'Luna skinny RW', 'Lucy blouse']","['IZZY KNOT loose tee', 'Jens', 'W Amanda']",0.008294087488531334,0.04629359650106538,0.036424806549287876,0.03599865425591567
Shake it in Balconette,44280,"['Simple as that Cheeky Tanga', 'Timeless Highwaist', 'S Timeless High Wide Side Brie']","['Jackie cable vest', 'Kaj tapered', 'Marianne']",0.008237348749403779,0.13480126467931347,0.13299457994579947,0.09098915989159892
Skinny Ankle R.W Brooklyn,44045,"['Luna skinny RW', 'Jade HW Skinny Denim TRS', 'Julia RW Skinny Denim TRS']","['Wideawake Push Triangle', 'Panorama mid support bra', 'Beast all over lace softbra']",0.008193632015977628,0.06838460665228743,0.0370530139629924,0.03130888863662164
SUPREME RW tights,43880,"['SPEEDY CONSCIOUS TEE', 'Tory price tee', 'Izzy tee']","['Asher', 's', 'La la land Brief']",0.008162937288252885,0.042821330902461256,0.034822242479489514,0.03420692798541477
Tilda tank,42371,"['Brit Baby Tee', 'Goldie tank top', 'Jade HW Skinny Denim TRS']","['Supernova', 'Lexington', 'Noora jumpsuit']",0.007882220051061145,0.03405631210025725,0.032191829317221685,0.027448018692029928
Nora T-shirt,38727,"['Cat Tee.', 'Tilly', 'Luna skinny RW']","['Liliana', 'NORMA SKIRT', 'Florence Jumpsuit']",0.007204331639976516,0.0442327058641258,0.042141141839027035,0.024892194076484107
Madison skinny HW (1),37479,"['Luna skinny RW', 'Madison skinny HW', 'Jade Denim TRS']","['Palermo Braziian Aster 2pkt', 'Rana jumpsuit', 'Bolivar espadrille']",0.006972167881185732,0.11603831478961552,0.07686971370634221,0.057472184423277034
Primo slacks,37047,"['Luna skinny RW', 'Kanta RW Slacks', 'Milk RW slack']","['200 den 1p Tights', 'Timeless Low V Shape Brief', 'Basic Ronaldo necklace']",0.006891803503142768,0.05730558479768942,0.046157583610008907,0.04175776716063379
