,mean_actual,mean_pred,mape
Rebecca or Delphine shirt,8.5,22.714285,2.4251534180105607
Charlotte Brazilian Aza.Low 2p,42.714285714285715,53.357143,0.38822637582838276
Henry polo. (1),144.71428571428572,178.71428,0.3906024312392189
Perrie Slim Mom Denim TRS,118.5,76.21429,0.33264099796407987
Tilly (1),119.28571428571429,171.35715,0.4943063768962097
Luna skinny RW,96.71428571428571,180.64285,1.0133696306202788
Henry polo (1),39.857142857142854,70.14286,0.9454287026681432
Hayes,10.928571428571429,20.357143,1.1145535486922042
Shaping Skinny R.W.,159.35714285714286,100.5,0.3319836037920546
Madison skinny HW (1),98.42857142857143,147.5,0.5528211245377052
Mariette,5.785714285714286,22.714285,4.199376417233561
Flock (1),3.142857142857143,7.714286,2.9720238095238094
Kanta slacks,5.714285714285714,8.071428,1.1178571428571427
Skinny R.W Chic,146.42857142857142,110.92857,0.35187649819460776
Woody (1),4.714285714285714,10.285714,1.7229308390022677
Super Skinny L.W Epic,8.071428571428571,42.57143,6.894771498342927
Greta Thong Mynta Low 3p,6.857142857142857,13.428572,1.426218820861678
LAZER RAZER brief (1),4.928571428571429,29.785715,8.932544836116264
Timeless Top,4.5,6.285714,1.7285714285714284
Shaping Skinny H.W,78.64285714285714,83.35714,0.22743744948254369
Skinny Shaping R.W,1.0,10.928572,9.928571428571429
Calista cardigan.,44.142857142857146,50.92857,0.28961909330680413
Baraboom (1),53.5,63.42857,0.4389430180829191
Jade Denim Trash TRS,32.857142857142854,29.857143,0.298021474745033
Julia RW Skinny Denim TRS,19.142857142857142,43.714287,1.6826133950083528
Julia RW Denim TRS,32.214285714285715,49.642857,0.8411972929359253
Luna skinny 5 pkt,42.857142857142854,148.85715,2.6180932068637333
Brit Baby Tee,47.0,75.07143,0.6289970280325424
Push Up Jegging L.W,4.928571428571429,3.0,0.32414965986394556
Perrie Trash HW Denim TRS,9.071428571428571,211.28572,28.998863636363634
Charlotte Brazilian Low 2p,28.642857142857142,41.92857,0.5947212463575299
Rachel Basic L/S,82.21428571428571,165.92857,1.3728175707162387
Charlie Top,1.7857142857142858,7.428571,4.954761904761905
Hayes slim,17.857142857142858,24.214285,0.5639199911756303
Tilly,91.78571428571429,97.28571,0.30821997353418235
Olga Tank TVP,45.714285714285715,56.5,0.41946976261921975
Jeggings H.W,18.642857142857142,19.5,0.8597373276159767
Rachel LS TVP,18.285714285714285,18.928572,0.3212492576489855
Mariette Blazer,26.571428571428573,48.92857,1.062481716919057
Ringo hipbelt,56.285714285714285,56.714287,0.23487518946536504
Flock,69.0,161.5,1.335987385128424
Queen Sweater,23.285714285714285,37.714287,0.8416051193804881
Woody(1),38.07142857142857,39.714287,0.4524094982823906
Tiblisi paperwaist tapered,28.785714285714285,46.214287,0.7861826206081596
Agnes LS R-neck,1.3571428571428572,5.714286,4.023809523809524
Baraboom,76.14285714285714,82.28571,0.27465308679961903
Madison skinny HW,14.642857142857142,16.0,0.46833651562910056
Kanta slacks RW,1.8571428571428572,12.714286,8.130952380952381
7p Basic Shaftless,61.42857142857143,68.21429,0.24471755673161577
3p Sneaker Socks,35.642857142857146,36.0,0.3656616931688191
Heavy jsy long leg,2.357142857142857,6.285714,2.9030612244897958
Shaping Skinny R.W,4.357142857142857,6.5,1.3944444444444444
S.Skinny L.W Epic,5.928571428571429,6.857143,0.740221088435374
Jade Denim Fancy Trash TRS,11.357142857142858,69.35714,6.436095650381364
Julia Denim TRS,3.857142857142857,10.357142,2.9345238095238093
Scallop 5p Socks,57.357142857142854,59.42857,0.24406108340474125
Curvy Jeggings HW Ankle,55.785714285714285,62.142857,0.29941234050998994
